antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Year_Category_Recent_Year, Tree_Cover_Loss_Category_Medium_Tree_Cover_Loss",Forest_Loss_Category_Medium_Forest_Loss,0.13,0.33,0.1,0.7692307692307693,2.331002331002331,1.0,0.057100000000000005,2.9033333333333338,0.6563218390804597,0.2777777777777778,0.6555683122847303,0.5361305361305362
"Protected_Areas_Category_High_Protected_Area, Population_Category_Medium_Population",Aid_Category_Medium_Aid,0.13,0.34,0.1,0.7692307692307693,2.262443438914027,1.0,0.0558,2.8600000000000003,0.6413793103448275,0.2702702702702703,0.6503496503496504,0.5316742081447964
"Forest_Loss_Category_Medium_Forest_Loss, Tree_Cover_Loss_Category_Medium_Tree_Cover_Loss",Year_Category_Recent_Year,0.15,0.33,0.1,0.6666666666666667,2.0202020202020203,1.0,0.0505,2.0100000000000002,0.5941176470588235,0.2631578947368421,0.5024875621890549,0.48484848484848486
"Policy_Category_Weak_Policy, Rainfall_Category_Medium_Rainfall","Agriculture_Land_Category_High_Agriculture_Land, Corruption_Category_High_Corruption",0.23,0.31,0.14,0.6086956521739131,1.9635343618513326,1.0,0.06870000000000001,1.7633333333333334,0.6372912801484231,0.35000000000000003,0.4328922495274103,0.5301542776998598
"Protected_Areas_Category_Medium_Protected_Area, Aid_Category_High_Aid",Rainfall_Category_Low_Rainfall,0.15,0.34,0.1,0.6666666666666667,1.9607843137254903,1.0,0.049,1.9800000000000002,0.5764705882352941,0.25641025641025644,0.4949494949494951,0.48039215686274517
"Rainfall_Category_Low_Rainfall, Protected_Areas_Category_Medium_Protected_Area",Aid_Category_High_Aid,0.16,0.33,0.1,0.625,1.8939393939393938,1.0,0.0472,1.7866666666666664,0.5619047619047619,0.25641025641025644,0.4402985074626866,0.4640151515151515
"Year_Category_Recent_Year, Forest_Loss_Category_Medium_Forest_Loss",Tree_Cover_Loss_Category_Medium_Tree_Cover_Loss,0.16,0.33,0.1,0.625,1.8939393939393938,1.0,0.0472,1.7866666666666664,0.5619047619047619,0.25641025641025644,0.4402985074626866,0.4640151515151515
"Population_Category_Medium_Population, Aid_Category_Medium_Aid",Protected_Areas_Category_High_Protected_Area,0.16,0.34,0.1,0.625,1.838235294117647,1.0,0.0456,1.7599999999999998,0.5428571428571428,0.25,0.4318181818181818,0.4595588235294118
"GDP_Category_Low_GDP, Policy_Category_Weak_Policy","Year_Category_Recent_Year, Corruption_Category_High_Corruption",0.23,0.29,0.12,0.5217391304347826,1.7991004497751124,1.0,0.0533,1.4845454545454544,0.5768398268398268,0.3,0.3263931414574403,0.46776611694152925
"Policy_Category_Weak_Policy, Corruption_Category_High_Corruption, Rainfall_Category_Medium_Rainfall",Agriculture_Land_Category_High_Agriculture_Land,0.23,0.34,0.14,0.6086956521739131,1.7902813299232736,1.0,0.06180000000000001,1.6866666666666665,0.5732838589981447,0.3255813953488372,0.40711462450592895,0.5102301790281331
"Policy_Category_Weak_Policy, Rainfall_Category_Medium_Rainfall",Agriculture_Land_Category_High_Agriculture_Land,0.23,0.34,0.14,0.6086956521739131,1.7902813299232736,1.0,0.06180000000000001,1.6866666666666665,0.5732838589981447,0.3255813953488372,0.40711462450592895,0.5102301790281331
"Rainfall_Category_Low_Rainfall, Aid_Category_High_Aid",Protected_Areas_Category_Medium_Protected_Area,0.17,0.33,0.1,0.5882352941176471,1.7825311942959001,1.0,0.0439,1.627142857142857,0.5289156626506024,0.25,0.38542581211589116,0.4456327985739751
"Rainfall_Category_Low_Rainfall, Policy_Category_Weak_Policy","Protected_Areas_Category_Medium_Protected_Area, Corruption_Category_High_Corruption",0.24,0.31,0.13,0.5416666666666667,1.7473118279569895,1.0,0.05560000000000001,1.5054545454545456,0.5627530364372471,0.3095238095238095,0.33574879227053156,0.4805107526881721
"Agriculture_Land_Category_Low_Agriculture_Land, Policy_Category_Weak_Policy","Corruption_Category_High_Corruption, Tree_Cover_Loss_Category_Medium_Tree_Cover_Loss",0.23,0.3,0.12,0.5217391304347826,1.7391304347826086,1.0,0.05099999999999999,1.4636363636363634,0.5519480519480519,0.2926829268292683,0.31677018633540377,0.4608695652173913
