support,itemsets,length
0.93,frozenset({'Corruption_Category_High_Corruption'}),1
0.7,frozenset({'Policy_Category_Weak_Policy'}),1
0.68,"frozenset({'Corruption_Category_High_Corruption', 'Policy_Category_Weak_Policy'})",2
0.34,frozenset({'GDP_Category_High_GDP'}),1
0.34,frozenset({'Illegal_Lumbering_Category_High_Illegal_Lumbering'}),1
0.34,frozenset({'Year_Category_Old_Year'}),1
0.34,frozenset({'CO2_Category_Low_CO2'}),1
0.34,frozenset({'Tree_Cover_Loss_Category_High_Tree_Cover_Loss'}),1
0.34,frozenset({'Rainfall_Category_High_Rainfall'}),1
0.34,frozenset({'Population_Category_High_Population'}),1
0.34,frozenset({'Protected_Areas_Category_High_Protected_Area'}),1
0.34,frozenset({'Rainfall_Category_Low_Rainfall'}),1
0.34,frozenset({'Forest_Loss_Category_High_Forest_Loss'}),1
0.34,frozenset({'CO2_Category_High_CO2'}),1
0.34,frozenset({'Aid_Category_Medium_Aid'}),1
0.34,frozenset({'Agriculture_Land_Category_High_Agriculture_Land'}),1
0.33,frozenset({'Year_Category_Recent_Year'}),1
0.33,frozenset({'Year_Category_Middle_Year'}),1
0.33,frozenset({'Forest_Loss_Category_Medium_Forest_Loss'}),1
0.33,frozenset({'GDP_Category_Low_GDP'}),1
0.33,frozenset({'GDP_Category_Medium_GDP'}),1
0.33,frozenset({'Forest_Loss_Category_Low_Forest_Loss'}),1
0.33,frozenset({'Illegal_Lumbering_Category_Low_Illegal_Lumbering'}),1
0.33,frozenset({'Protected_Areas_Category_Low_Protected_Area'}),1
0.33,frozenset({'Illegal_Lumbering_Category_Medium_Illegal_Lumbering'}),1
0.33,frozenset({'Population_Category_Medium_Population'}),1
0.33,frozenset({'Protected_Areas_Category_Medium_Protected_Area'}),1
0.33,frozenset({'Population_Category_Low_Population'}),1
0.33,frozenset({'Tree_Cover_Loss_Category_Medium_Tree_Cover_Loss'}),1
0.33,frozenset({'Aid_Category_Low_Aid'}),1
0.33,frozenset({'Aid_Category_High_Aid'}),1
0.33,"frozenset({'CO2_Category_Low_CO2', 'Corruption_Category_High_Corruption'})",2
