Country,Year,Forest_Loss_Area_km2,Tree_Cover_Loss_percent,CO2_Emission_mt,Rainfall_mm,Population,GDP_Billion_USD,Agriculture_Land_Percent,Deforestation_Policy_Strictness,Corruption_Index,International_Aid_Million_USD,Illegal_Lumbering_Incidents,Protected_Areas_Percent,Forest_Loss_Category,Tree_Cover_Loss_Category,CO2_Category,Rainfall_Category,Population_Category,GDP_Category,Agriculture_Land_Category,Aid_Category,Illegal_Lumbering_Category,Protected_Areas_Category,Year_Category,Policy_Category,Corruption_Category
Indonesia,1971.0,560.0,8.929640873688275,304.0,1635.7153497445656,86759840.0,2551.805034719541,59.3163662532114,3.0,9.4262643002331,238.0,184.0,7.005531130398314,Low_Forest_Loss,High_Tree_Cover_Loss,Medium_CO2,Low_Rainfall,High_Population,Medium_GDP,High_Agriculture_Land,Medium_Aid,High_Illegal_Lumbering,Low_Protected_Area,Middle_Year,Weak_Policy,High_Corruption
Brazil,1927.0,3303.0,4.638441312460555,341.0,1454.4302406617262,83798502.0,2637.895996058493,14.211098983561556,4.0,2.60261803580526,418.0,78.0,20.04441455825189,High_Forest_Loss,Medium_Tree_Cover_Loss,High_CO2,Low_Rainfall,High_Population,Medium_GDP,Low_Agriculture_Land,High_Aid,Medium_Illegal_Lumbering,Medium_Protected_Area,Old_Year,Moderate_Policy,Low_Corruption
Russia,1961.0,4466.0,4.679312970956657,298.0,1744.8096602895998,41477592.0,2880.7247208385816,44.86969864369276,2.0,51.917314752104446,186.0,49.0,22.74760282629925,High_Forest_Loss,Medium_Tree_Cover_Loss,Medium_CO2,Medium_Rainfall,Medium_Population,Medium_GDP,High_Agriculture_Land,Medium_Aid,Low_Illegal_Lumbering,High_Protected_Area,Middle_Year,Weak_Policy,High_Corruption
Australia,1967.0,3658.0,1.535527573084003,285.0,1541.6458530643126,71475964.0,2525.516988451434,10.82451584965587,4.0,23.716328209163628,190.0,2.0,22.70136217205866,High_Forest_Loss,Low_Tree_Cover_Loss,Medium_CO2,Low_Rainfall,High_Population,Medium_GDP,Low_Agriculture_Land,Medium_Aid,Low_Illegal_Lumbering,High_Protected_Area,Middle_Year,Moderate_Policy,High_Corruption
Australia,1987.0,2682.0,8.035841446333809,450.0,1752.997735809642,16256333.0,608.916586424063,14.577189795321546,4.0,21.42403696309625,159.0,41.0,18.085868735798268,Medium_Forest_Loss,High_Tree_Cover_Loss,High_CO2,Medium_Rainfall,Low_Population,Low_GDP,Low_Agriculture_Land,Low_Aid,Low_Illegal_Lumbering,Medium_Protected_Area,Middle_Year,Moderate_Policy,High_Corruption
India,2018.0,3593.0,1.6717418469067098,18.0,2578.967644510209,25194830.0,1518.4789461729258,32.65490500331662,4.0,93.88520297586756,48.0,159.0,18.483376441217526,High_Forest_Loss,Low_Tree_Cover_Loss,Low_CO2,High_Rainfall,Low_Population,Low_GDP,Medium_Agriculture_Land,Low_Aid,High_Illegal_Lumbering,Medium_Protected_Area,Recent_Year,Moderate_Policy,High_Corruption
Indonesia,1994.0,2779.0,9.53183685906592,115.0,2696.53185998544,24901490.0,1208.9794954730978,48.47211273576556,1.0,41.271572330337904,321.0,193.0,23.34371424091086,Medium_Forest_Loss,High_Tree_Cover_Loss,Low_CO2,High_Rainfall,Low_Population,Low_GDP,High_Agriculture_Land,Medium_Aid,High_Illegal_Lumbering,High_Protected_Area,Recent_Year,Weak_Policy,High_Corruption
Brazil,1961.0,609.0,3.031973979109594,165.0,2190.0830707965933,57605663.0,2543.933893910776,41.9174745959822,4.0,10.434518764192436,267.0,194.0,27.65482690426372,Low_Forest_Loss,Low_Tree_Cover_Loss,Low_CO2,Medium_Rainfall,Medium_Population,Medium_GDP,Medium_Agriculture_Land,Medium_Aid,High_Illegal_Lumbering,High_Protected_Area,Middle_Year,Moderate_Policy,High_Corruption
Indonesia,1990.0,2326.0,3.9613104657950022,144.0,1728.975849608275,97834250.0,1891.5435702598245,15.213273111875145,2.0,9.304376055612062,363.0,175.0,25.16945580950021,Medium_Forest_Loss,Medium_Tree_Cover_Loss,Low_CO2,Medium_Rainfall,High_Population,Medium_GDP,Low_Agriculture_Land,High_Aid,High_Illegal_Lumbering,High_Protected_Area,Recent_Year,Weak_Policy,High_Corruption
Russia,1974.0,936.0,4.058040248058759,410.0,1082.1154917203312,39358604.0,1693.4082672476443,56.218759260214846,1.0,69.80682477715744,431.0,3.0,26.758233505030493,Low_Forest_Loss,Medium_Tree_Cover_Loss,High_CO2,Low_Rainfall,Medium_Population,Medium_GDP,High_Agriculture_Land,High_Aid,Low_Illegal_Lumbering,High_Protected_Area,Middle_Year,Weak_Policy,High_Corruption
Russia,1993.0,2407.0,3.055456987561617,312.0,1078.566066269736,91381432.0,4203.589544097987,49.97045509691544,1.0,43.21402066127654,48.0,181.0,14.46911061705224,Medium_Forest_Loss,Low_Tree_Cover_Loss,Medium_CO2,Low_Rainfall,High_Population,High_GDP,High_Agriculture_Land,Low_Aid,High_Illegal_Lumbering,Medium_Protected_Area,Recent_Year,Weak_Policy,High_Corruption
